Player ID,Overall Pick,Games,Minutes Played,Free Throw Percentage,Minutes Per Game,Points Per Game,Total Rebounds Per Game
371,25,21,107,0.6,5.1,2.2,1.6
372,33,61,681,0.769,11.2,5,4
373,28,66,376,0.813,5.7,2,0.5
374,25,205,3232,0.791,15.8,5.3,1.8
375,53,41,540,0.481,13.2,2.3,4.3
376,37,24,119,0.714,5,2.4,1
377,47,10,45,0.444,4.5,1.4,0.9
378,8,580,14321,0.725,24.7,7.5,5.9
379,54,19,134,0.75,7.1,1.9,0.6
380,1,529,18537,0.683,35,21.5,9.2
381,7,557,18517,0.816,33.2,16.8,2.5
382,35,741,20800,0.447,28.1,9.4,10.6
383,14,296,8274,0.747,28,11.9,4.2
384,34,82,702,0.732,8.6,2.6,1.9
385,52,6,18,0.6,3,0.8,0.3
386,12,34,168,0.625,4.9,1.1,0.5
387,32,127,1683,0.78,13.3,3.4,1.2
388,4,762,16108,0.794,21.1,6.5,2.4
389,33,36,433,0.625,12,3.1,0.9
390,6,735,19642,0.743,26.7,11.2,7.6
391,8,628,12474,0.643,19.9,8.2,4.9
392,12,375,6005,0.625,16,5.3,3.2
393,41,73,569,0.636,7.8,2.7,2.6
394,2,1079,30523,0.646,28.3,8.6,9.4
395,3,446,11730,0.59,26.3,10.1,4.9
396,18,783,20785,0.718,26.5,10.3,4.7
397,30,447,11246,0.73,25.2,7.1,2.7
399,2,51,1756,0.449,34.4,10.2,7
400,28,9,29,1,3.2,0.9,1.2
401,2,136,4204,0.659,30.9,12.2,4.6
402,32,72,867,0.706,12,5.4,3.2
403,2,183,5110,0.755,27.9,14.6,3.6
404,27,183,3985,0.688,21.8,7.2,5.9
405,34,40,758,0.85,19,4,2.6
406,7,229,6374,0.712,27.8,13.4,8.9
407,48,163,3125,0.797,19.2,6,3.1
408,60,189,2745,0.671,14.5,4.2,3.1
409,41,132,1464,0.63,11.1,3.3,1
410,46,49,475,0.875,9.7,4,0.7
411,43,63,711,0.722,11.3,3.6,1.9
412,58,41,215,0.739,5.2,2,1
413,29,394,7511,0.824,19.1,7.6,2.2
414,42,302,8624,0.767,28.6,9.4,4.1
415,58,2,23,1,11.5,4.5,2
416,19,113,1853,0.638,16.4,5.3,2.4
418,48,711,24010,0.779,33.8,15.2,7.7
419,26,504,9840,0.739,19.5,7.7,1.9
420,51,22,114,0.444,5.2,1,1.4
421,10,418,10690,0.69,25.6,11.5,7.7
422,37,473,8020,0.636,17,4.7,3.7
423,39,200,2475,0.751,12.4,5.3,1.2
424,27,581,8908,0.858,15.3,5.3,1.9
425,24,421,5649,0.783,13.4,5.5,2.6
426,32,564,9685,0.715,17.2,4.7,2.8
427,27,72,861,0.667,12,3.9,1.2
428,29,453,5335,0.527,11.8,2.2,2.6
430,14,64,1293,0.71,20.2,7,5.6
431,10,156,4310,0.652,27.6,7.3,5.2
432,40,178,5156,0.777,29,10.2,2.9
433,26,111,2000,0.81,18,6,2.4
434,55,64,973,0.548,15.2,2.9,1.4
435,27,59,729,0.667,12.4,3.6,3.1
436,31,311,8306,0.861,26.7,12,3.2
437,32,50,347,0.545,6.9,2.3,1.8
438,41,37,397,0.518,10.7,2.9,1.9
439,43,483,11299,0.83,23.4,11.9,2.8
440,2,577,13491,0.761,23.4,12.6,4.8
441,52,138,1039,0.644,7.5,2.2,1.5
442,20,592,9806,0.78,16.6,6.2,3.4
443,29,51,507,0.854,9.9,3.3,1.9
444,19,549,12280,0.806,22.4,8.4,3.8
445,47,76,879,0.678,11.6,2.9,2.8
446,53,42,588,0.714,14,3.2,2
447,5,975,33740,0.767,34.6,22.6,4.7
448,33,2,5,,2.5,1,0.5
449,10,881,28333,0.847,32.2,14.1,5
450,53,809,17219,0.747,21.3,7.5,2.4
451,49,16,156,0.333,9.8,2,2
452,37,717,12405,0.851,17.3,7.5,1.7
453,52,3,21,0.25,7,1,2
455,17,21,69,0.5,3.3,0.9,0.4
456,48,64,979,0.693,15.3,3.6,1.8
457,10,128,1767,0.676,13.8,4.5,2.6
458,36,121,3386,0.872,28,11.4,3
459,38,125,1951,0.758,15.6,3.9,1.4
460,17,139,1671,0.692,12,3,1.1
461,46,187,3072,0.801,16.4,6.8,2.1
462,2,174,5356,0.748,30.8,15.2,5.4
463,31,20,156,0.875,7.8,1.8,1.6
464,36,147,1684,0.663,11.5,3.5,2.4
465,48,40,435,0.72,10.9,2.3,1.4
466,15,386,12618,0.746,32.7,17.1,7.4
467,43,28,277,0.769,9.9,3.9,1.4
468,14,383,7748,0.577,20.2,7.9,5.5
469,42,100,1272,0.7,12.7,3.5,1
470,10,235,3148,0.876,13.4,6,1
471,40,336,5543,0.769,16.5,6.7,4
472,15,238,4635,0.553,19.5,6.4,5.7
473,37,5,39,,7.8,0.8,0.6
474,44,65,491,0.852,7.6,2.8,2
475,10,548,16751,0.795,30.6,14.2,3
476,41,523,11911,0.881,22.8,9.3,2.1
477,8,67,745,0.698,11.1,4.2,1.8
478,37,676,15819,0.662,23.4,6.4,4.1
