Player ID,Round,Overall Pick,Games,Minutes Played,Points,Total Rebounds,Assists ,Field Goal Percentage,3-Point Percentage,Free Throw Percentage,Minutes Per Game,Points Per Game,Total Rebounds Per Game,Assists Per Game
255,2,49,9,32,4,3,2,0.1,0,1,3.6,0.4,0.3,0.2
256,1,8,211,4703,1440,718,314,0.367,0.294,0.768,22.3,6.8,3.4,1.5
257,2,38,91,859,295,85,71,0.377,0.304,0.747,9.4,3.2,0.9,0.8
258,2,38,178,4066,1572,469,794,0.388,0.314,0.801,22.8,8.8,2.6,4.5
259,1,8,379,11696,4560,1295,637,0.409,0.346,0.782,30.9,12,3.4,1.7
260,2,37,21,79,22,26,2,0.417,1,0.579,3.8,1,1.2,0.1
261,2,56,24,224,54,14,34,0.316,0.28,0.733,9.3,2.3,0.6,1.4
262,1,9,457,13843,6188,6089,498,0.544,0.185,0.42,30.3,13.5,13.3,1.1
263,2,44,41,407,119,37,26,0.375,0.28,0.724,9.9,2.9,0.9,0.6
264,1,8,382,11939,5820,1277,1629,0.415,0.357,0.812,31.3,15.2,3.3,4.3
265,2,33,356,7794,2326,1026,272,0.418,0.362,0.786,21.9,6.5,2.9,0.8
266,2,52,23,135,46,34,5,0.543,,0.571,5.9,2,1.5,0.2
267,1,15,293,4132,1522,764,212,0.402,0.351,0.778,14.1,5.2,2.6,0.7
268,2,35,83,820,278,82,29,0.384,0.367,0.642,9.9,3.3,1,0.3
269,2,39,554,9997,3402,2215,427,0.455,0.359,0.765,18,6.1,4,0.8
270,2,44,407,7998,3198,1240,473,0.43,0.352,0.797,19.7,7.9,3,1.2
271,1,29,138,2111,810,437,80,0.507,0.333,0.72,15.3,5.9,3.2,0.6
272,1,15,651,17890,8185,1912,2333,0.423,0.3,0.824,27.5,12.6,2.9,3.6
273,1,27,759,20794,8186,2176,1385,0.45,0.387,0.825,27.4,10.8,2.9,1.8
274,2,60,14,166,25,15,17,0.3,0.2,1,11.9,1.8,1.1,1.2
275,1,26,618,11379,3481,2576,266,0.495,0,0.564,18.4,5.6,4.2,0.4
276,2,56,811,17619,5848,4491,986,0.572,0.336,0.669,21.7,7.2,5.5,1.2
277,2,60,30,234,81,29,16,0.37,0.32,0.5,7.8,2.7,1,0.5
278,1,2,468,8638,2813,1971,405,0.46,0,0.574,18.5,6,4.2,0.9
279,1,25,507,11580,4115,1815,887,0.401,0.365,0.758,22.8,8.1,3.6,1.7
280,2,58,13,81,17,8,1,0.471,,0.5,6.2,1.3,0.6,0.1
281,1,23,1017,31576,11272,4332,2406,0.455,0.367,0.756,31,11.1,4.3,2.4
282,1,9,218,3354,1540,485,237,0.424,0.314,0.749,15.4,7.1,2.2,1.1
283,2,38,634,18429,8561,4436,1089,0.458,0.375,0.797,29.1,13.5,7,1.7
284,1,14,167,1863,609,175,310,0.389,0.267,0.728,11.2,3.6,1,1.9
285,2,44,456,6477,2108,1050,465,0.408,0.372,0.861,14.2,4.6,2.3,1
286,,,,,,,,,,,,,,
287,1,30,16,108,25,28,0,0.55,,0.3,6.8,1.6,1.8,0
288,1,30,116,1186,349,303,64,0.551,0.231,0.551,10.2,3,2.6,0.6
289,1,7,456,13823,5918,2258,700,0.452,0.368,0.788,30.3,13,5,1.5
290,1,30,170,2394,712,725,63,0.513,,0.557,14.1,4.2,4.3,0.4
291,2,35,459,12665,4264,3173,2080,0.438,0.328,0.705,27.6,9.3,6.9,4.5
292,2,52,37,164,35,38,8,0.52,,0.6,4.4,0.9,1,0.2
293,1,11,530,17450,10156,1808,1220,0.458,0.422,0.852,32.9,19.2,3.4,2.3
294,2,44,110,1334,408,100,214,0.434,0.182,0.754,12.1,3.7,0.9,1.9
295,1,6,328,5343,1229,1003,230,0.437,0,0.725,16.3,3.7,3.1,0.7
296,1,7,625,21528,14434,2763,4227,0.477,0.436,0.903,34.4,23.1,4.4,6.8
297,1,14,252,3841,1789,1078,187,0.453,0.241,0.74,15.2,7.1,4.3,0.7
298,1,18,715,16601,7026,1448,1205,0.425,0.376,0.841,23.2,9.8,2,1.7
299,2,36,52,433,162,96,14,0.425,,0.578,8.3,3.1,1.8,0.3
300,2,46,16,303,83,53,3,0.451,,0.594,18.9,5.2,3.3,0.2
301,1,9,90,524,186,127,25,0.494,0,0.583,5.8,2.1,1.4,0.3
302,2,38,7,38,10,13,1,0.3,,0.667,5.4,1.4,1.9,0.1
303,1,9,225,2795,1348,689,69,0.509,0.5,0.786,12.4,6,3.1,0.3
304,2,40,833,29011,14858,2874,3856,0.451,0.314,0.772,34.8,17.8,3.5,4.6
305,2,42,17,144,47,36,2,0.605,,0.167,8.5,2.8,2.1,0.1
306,1,11,516,11146,3247,3631,467,0.594,0,0.5,21.6,6.3,7,0.9
307,1,11,557,11950,4629,1723,445,0.425,0.355,0.665,21.5,8.3,3.1,0.8
308,2,40,2,32,4,4,7,0.667,,,16,2,2,3.5
309,1,3,986,27340,11048,4211,2185,0.441,0.377,0.803,27.7,11.2,4.3,2.2
310,1,5,857,29241,14644,4245,2284,0.438,0.37,0.707,34.1,17.1,5,2.7
