Player ID,Round,Games,Total Rebounds,Free Throw Percentage,Points Per Game,Total Rebounds Per Game
305,2,17,36,0.167,2.8,2.1
306,1,516,3631,0.5,6.3,7
307,1,557,1723,0.665,8.3,3.1
309,1,986,4211,0.803,11.2,4.3
310,1,857,4245,0.707,17.1,5
311,1,729,5708,0.785,10.8,7.8
312,2,552,2168,0.803,20.7,3.9
313,2,51,189,0.667,8.6,3.7
315,2,74,218,0.746,10.1,2.9
316,2,5,10,1,2.8,2
317,2,15,16,0.7,1.3,1.1
318,1,146,435,0.615,5.3,3
319,2,164,549,0.625,8.4,3.3
320,1,222,1801,0.478,10.6,8.1
321,2,28,39,0.68,2.6,1.4
322,2,205,380,0.839,8.4,1.9
323,1,350,1141,0.836,9.1,3.3
325,1,232,1330,0.622,10.5,5.7
326,1,465,2035,0.729,11.1,4.4
327,1,265,1480,0.798,11.5,5.6
328,2,409,1892,0.708,13.1,4.6
329,1,552,2412,0.756,7.3,4.4
330,1,685,3619,0.838,12.1,5.3
331,1,643,1077,0.837,9.7,1.7
332,1,802,4700,0.795,18,5.9
333,2,467,591,0.877,4.7,1.3
334,1,348,845,0.773,8.2,2.4
335,2,16,3,1,2.2,0.2
336,1,486,4494,0.833,19,9.2
337,1,317,836,0.784,7.1,2.6
338,2,9,7,0.625,1.2,0.8
339,1,1181,4720,0.768,12.6,4
340,1,735,2706,0.647,3.6,3.7
341,1,108,63,0.6,2.2,0.6
342,1,592,3665,0.557,3.9,6.2
343,2,619,2307,0.671,4.9,3.7
345,1,49,76,0.667,2.9,1.6
346,2,10,9,0.833,1.3,0.9
347,1,121,423,0.712,10.2,3.5
348,2,29,20,1,0.9,0.7
349,1,198,1311,0.782,12.9,6.6
350,2,124,128,0.768,3.3,1
351,1,253,831,0.822,6.3,3.3
352,1,321,1485,0.545,4.9,4.6
353,1,407,2511,0.846,16.3,6.2
354,2,137,247,0.819,5.4,1.8
355,1,520,3221,0.844,18.6,6.2
356,2,432,1857,0.688,8.8,4.3
358,1,428,1808,0.738,6.7,4.2
359,2,261,377,0.742,5.8,1.4
360,1,552,1173,0.824,8.5,2.1
361,2,45,106,0.684,2.8,2.4
362,1,314,945,0.755,5.6,3
363,2,102,275,0.672,4.3,2.7
364,1,586,2888,0.848,16.8,4.9
365,1,189,549,0.525,5,2.9
366,2,709,1276,0.84,5.2,1.8
367,1,430,958,0.809,7.5,2.2
368,2,54,50,0.393,1.6,0.9
369,1,342,1327,0.701,7.2,3.9
371,1,21,34,0.6,2.2,1.6
372,2,61,247,0.769,5,4
373,1,66,31,0.813,2,0.5
374,1,205,377,0.791,5.3,1.8
375,2,41,176,0.481,2.3,4.3
376,2,24,24,0.714,2.4,1
377,2,10,9,0.444,1.4,0.9
378,1,580,3397,0.725,7.5,5.9
379,2,19,12,0.75,1.9,0.6
380,1,529,4852,0.683,21.5,9.2
381,1,557,1414,0.816,16.8,2.5
382,2,741,7864,0.447,9.4,10.6
383,1,296,1233,0.747,11.9,4.2
384,2,82,158,0.732,2.6,1.9
385,2,6,2,0.6,0.8,0.3
386,1,34,16,0.625,1.1,0.5
387,2,127,158,0.78,3.4,1.2
388,1,762,1856,0.794,6.5,2.4
